,date,portfolio_value,daily_pnl,num_positions
0,2013-01-02,100000.0,0.0,1
1,2013-01-03,100088.02347292611,88.02347292611313,1
2,2013-01-04,100310.26279738445,222.23932445834131,1
3,2013-01-07,100285.93095751804,-24.331839866407456,1
4,2013-01-08,100140.09324822614,-145.83770929190308,1
5,2013-01-09,100188.40095802964,48.307709803500714,1
6,2013-01-10,100153.43900708688,-34.96195094276382,1
7,2013-01-11,100489.1038531648,335.6648460779111,1
8,2013-01-14,100151.23376428756,-337.87008887723147,1
9,2013-01-15,100575.54270962428,424.3089453367208,1
10,2013-01-16,100490.74193471952,-84.80077490476077,1
11,2013-01-17,100357.190365563,-133.55156915652537,1
12,2013-01-18,100143.10707018372,-214.08329537928216,1
13,2013-01-22,100000.799857527,-142.30721265671113,1
14,2013-01-23,99899.39360255672,-101.40625497027425,1
15,2013-01-24,99771.8624617875,-127.53114076922485,1
16,2013-01-25,99771.8624617875,0.0,1
17,2013-01-28,99719.01719565308,-52.84526613442397,1
18,2013-01-29,99487.03076157084,-231.986434082236,1
19,2013-01-30,99346.09950078583,-140.93126078501524,1
20,2013-01-31,99177.4964598576,-168.60304092822358,1
21,2013-02-01,98865.93063367908,-311.56582617852564,1
22,2013-02-04,99160.59784728408,294.6672136050087,1
23,2013-02-05,98923.8476309705,-236.75021631358516,1
24,2013-02-06,98870.36151355931,-53.486117411186605,1
25,2013-02-07,98740.77044603962,-129.59106751969958,1
26,2013-02-08,98321.34956850526,-419.4208775343541,1
27,2013-02-11,98512.36917952566,191.01961102039678,1
28,2013-02-12,98379.77401572693,-132.59516379873517,1
29,2013-02-13,98364.85040261144,-14.92361311548536,1
30,2013-02-14,98543.81610078331,178.96569817186784,1
31,2013-02-15,98628.9980435145,85.18194273118587,1
32,2013-02-19,98664.20472308128,35.20667956678321,1
33,2013-02-20,99147.78693819781,483.5822151165333,1
34,2013-02-21,99680.4061050544,532.6191668565807,1
35,2013-02-22,99530.2664992765,-150.1396057778955,1
36,2013-02-25,99441.29115148574,-88.97534779076659,1
37,2013-02-26,99892.2700933559,450.9789418701603,1
38,2013-02-27,100115.61187370835,223.34178035245475,1
39,2013-02-28,100247.16631140778,131.5544376994311,1
40,2013-03-01,100511.77994846608,264.61363705830024,1
41,2013-03-04,100596.4501978792,84.6702494131119,1
42,2013-03-05,100179.77310377226,-416.6770941069354,1
43,2013-03-06,100327.87508891805,148.10198514579483,1
44,2013-03-07,100303.48419546045,-24.390893457601198,1
45,2013-03-08,100384.70159157013,81.21739610968868,1
46,2013-03-11,100555.8581869766,171.15659540646476,1
47,2013-03-12,100711.86482597109,156.00663899449114,1
48,2013-03-13,101023.23119328532,311.36636731422186,1
49,2013-03-14,100771.8833088199,-251.34788446542066,1
50,2013-03-15,100661.36762615624,-110.5156826636608,1
51,2013-03-18,100746.61172731478,85.24410115855083,1
52,2013-03-19,101315.15712086314,568.5453935483558,1
53,2013-03-20,100955.91026313351,-359.2468577296306,1
54,2013-03-21,101304.13015228615,348.2198891526391,1
55,2013-03-22,101250.40040985867,-53.729742427467784,1
56,2013-03-25,101106.50935224482,-143.8910576138602,1
57,2013-03-26,100772.82141807867,-333.6879341661429,1
58,2013-03-27,100681.5951075411,-91.22631053757918,1
59,2013-03-28,100590.72558510836,-90.86952243273537,1
60,2013-04-01,100299.97980492235,-290.7457801860094,1
61,2013-04-02,100405.62526438558,105.64545946323369,1
62,2013-04-03,101379.8383056174,974.2130412318206,1
63,2013-04-04,101598.480287212,218.64198159459912,1
64,2013-04-05,102234.78448009599,636.3041928839855,1
65,2013-04-08,102075.71768134671,-159.06679874927983,1
66,2013-04-09,101616.34769254569,-459.3699888010192,1
67,2013-04-10,101742.61482890468,126.26713635899445,1
68,2013-04-11,102181.16887335105,438.55404444636235,1
69,2013-04-12,102522.19742200288,341.02854865182627,1
70,2013-04-15,103333.5456238878,811.3482018849205,1
71,2013-04-16,103481.76786285422,148.2222389664302,1
72,2013-04-17,104171.57726528302,689.8094024287958,1
73,2013-04-18,103710.91474733234,-460.6625179506857,1
74,2013-04-19,103547.70580250652,-163.20894482582437,1
75,2013-04-22,103317.02250408047,-230.68329842605564,1
76,2013-04-23,103341.72226043168,24.699756351207444,1
77,2013-04-24,102902.8470367955,-438.87522363616915,1
78,2013-04-25,102393.03641154685,-509.8106252486428,1
79,2013-04-26,102467.29884004378,74.26242849691594,1
80,2013-04-29,102273.60823056521,-193.6906094785631,1
81,2013-04-30,102699.2146148789,425.60638431368824,1
82,2013-05-01,103427.54937907156,728.334764192655,1
83,2013-05-02,102527.27956456639,-900.2698145051733,1
84,2013-05-03,102126.54095119784,-400.73861336855185,1
85,2013-05-06,101753.0865687964,-373.4543824014428,1
86,2013-05-07,102059.90888558833,306.8223167919306,1
87,2013-05-08,102077.50542160308,17.596536014756076,1
88,2013-05-09,102039.35109237707,-38.15432922601152,1
89,2013-05-10,102203.44232415193,164.09123177485642,1
90,2013-05-13,102525.07186548575,321.62954133382544,1
91,2013-05-14,102590.8825515694,65.81068608365989,1
92,2013-05-15,102266.91134351182,-323.9712080575886,1
93,2013-05-16,102231.40199929533,-35.50934421649136,1
94,2013-05-17,101983.21015629126,-248.19184300406772,1
95,2013-05-20,101936.42886722874,-46.781289062517516,1
96,2013-05-21,102196.13331863665,259.70445140792043,1
97,2013-05-22,102582.65127065498,386.517952018325,1
98,2013-05-23,102630.64315429037,47.991883635392774,1
99,2013-05-24,102570.53149293487,-60.11166135550415,1
100,2013-05-28,102093.8543346912,-476.67715824366934,1
101,2013-05-29,102622.78728432886,528.932949637659,1
102,2013-05-30,102694.92279818683,72.13551385796951,1
103,2013-05-31,103237.59094879864,542.6681506118105,1
104,2013-06-03,102722.37994107528,-515.2110077233582,1
105,2013-06-04,102366.08244451306,-356.2974965622203,1
106,2013-06-05,102425.57454976946,59.49210525639602,1
107,2013-06-06,102255.59421933457,-169.9803304348834,1
108,2013-06-07,101974.3197829625,-281.27443637207045,1
109,2013-06-10,102152.79434799963,178.47456503712692,1
110,2013-06-11,102444.6594747082,291.86512670857275,1
111,2013-06-12,102286.45530943549,-158.2041652727119,1
112,2013-06-13,102061.1068524778,-225.3484569576912,1
113,2013-06-14,101567.68912726293,-493.41772521486126,1
114,2013-06-17,101700.00613943665,132.31701217372478,1
115,2013-06-18,101540.90401548665,-159.10212395000184,1
116,2013-06-19,101512.17144502387,-28.732570462789912,1
117,2013-06-20,102651.45712341648,1139.2856783926063,1
118,2013-06-21,103025.28328151644,373.8261580999612,1
119,2013-06-24,102948.71112567348,-76.57215584296969,1
120,2013-06-25,102918.1806656718,-30.530460001681853,1
121,2013-06-26,102796.2156085922,-121.96505707959759,1
122,2013-06-27,102444.32614339655,-351.88946519565116,1
123,2013-06-28,102641.60270998275,197.27656658619352,1
124,2013-07-01,102388.41473148906,-253.18797849369167,1
125,2013-07-02,102090.1960478051,-298.2186836839486,1
126,2013-07-03,101571.8919755624,-518.3040722427064,1
127,2013-07-05,101007.17684241536,-564.7151331470362,1
128,2013-07-08,101088.75523440653,81.57839199118123,1
129,2013-07-09,100981.48428498159,-107.27094942494766,1
130,2013-07-10,100784.78535445708,-196.69893052450138,1
131,2013-07-11,101002.1260582903,217.34070383322123,1
132,2013-07-12,100698.36026563379,-303.7657926565122,1
133,2013-07-15,100620.6223531045,-77.73791252929946,1
134,2013-07-16,100534.84255771685,-85.77979538764932,1
135,2013-07-17,100752.63741773677,217.79486001992012,1
136,2013-07-18,100727.59072580897,-25.04669192780392,1
137,2013-07-19,100902.72885503784,175.13812922886953,1
138,2013-07-22,100880.3205503046,-22.40830473324166,1
139,2013-07-23,100804.765247812,-75.55530249259847,1
140,2013-07-24,101147.84732101292,343.08207320090935,1
141,2013-07-25,101016.12619096067,-131.7211300522425,1
142,2013-07-26,100879.50011412372,-136.6260768369559,1
143,2013-07-29,100800.43061697352,-79.0694971501971,1
144,2013-07-30,100952.40520757333,151.9745905998144,1
145,2013-07-31,100728.61211025601,-223.7930973173248,1
146,2013-08-01,100212.34290055442,-516.2692097015901,1
147,2013-08-02,100374.27082362724,161.92792307283503,1
148,2013-08-05,100443.367384543,69.09656091575917,1
149,2013-08-06,100587.51793939111,144.15055484810063,1
150,2013-08-07,100793.9371387121,206.4191993209921,1
151,2013-08-08,101007.83343122539,213.89629251327406,1
152,2013-08-09,100570.39793211379,-437.43549911160073,1
153,2013-08-12,100361.30220549463,-209.095726619159,1
154,2013-08-13,100126.44736414013,-234.85484135451307,1
155,2013-08-14,100022.50987552683,-103.93748861329584,1
156,2013-08-15,99774.72271403845,-247.7871614883722,1
157,2013-08-16,99965.99277018182,191.27005614336989,1
158,2013-08-19,100101.81612992391,135.8233597420938,1
159,2013-08-20,100033.50278861595,-68.31334130795678,1
160,2013-08-21,100126.13481117101,92.63202255505259,1
161,2013-08-22,100101.51587264171,-24.618938529291743,1
162,2013-08-23,99790.00797065406,-311.5079019876556,1
163,2013-08-26,99873.5856970704,83.57772641634475,1
164,2013-08-27,98891.35563453894,-982.2300625314706,1
165,2013-08-28,98307.65796880517,-583.697665733766,1
166,2013-08-29,98674.38321720951,366.72524840434056,1
167,2013-08-30,98969.99508079008,295.6118635805579,1
168,2013-09-03,98535.08614705202,-434.9089337380581,1
169,2013-09-04,98731.84967488715,196.76352783514278,1
170,2013-09-05,98641.6325987766,-90.21707611055312,1
171,2013-09-06,98420.83144303755,-220.8011557390598,1
172,2013-09-09,99031.08806238811,610.256619350562,1
173,2013-09-10,99676.3750502023,645.2869878141892,1
174,2013-09-11,99607.67749398868,-68.69755621362235,1
175,2013-09-12,99909.02056726637,301.3430732776846,1
176,2013-09-13,99869.10308590681,-39.917481359560355,1
177,2013-09-16,100589.0319811794,719.9288952725874,1
178,2013-09-17,101103.7013873517,514.6694061723011,0
179,2013-09-18,101102.9513873517,-0.75,1
180,2013-09-19,100596.85076198264,-506.1006253690583,1
181,2013-09-20,100468.45856443618,-128.39219754646305,0
182,2013-09-23,100467.70856443618,-0.75,1
183,2013-09-24,100333.94978084447,-133.75878359170397,1
184,2013-09-25,100422.61011938425,88.66033853977723,1
185,2013-09-26,100175.07654384995,-247.53357553430303,1
186,2013-09-27,100334.68155546638,159.60501161642622,1
187,2013-09-30,100406.72523733442,72.04368186804808,1
